canonical_UniProtAC	condensate_id	condensate_name	condensate_type
O75525	91857CE7	Nucleolus	biomolecular
Q8N114	8DB3D246	SCOTIN condensate	biomolecular
Q01844	8C2F96ED	Centrosome	biomolecular
Q9NZJ0	8C2F96ED	Centrosome	biomolecular
Q13487	8C2F96ED	Centrosome	biomolecular
O60260	8C2F96ED	Centrosome	biomolecular
O14980	8C2F96ED	Centrosome	biomolecular
Q9BRK4	8C2F96ED	Centrosome	biomolecular
P58062	8C2F96ED	Centrosome	biomolecular
Q99689	8C2F96ED	Centrosome	biomolecular
Q00613	8C2F96ED	Centrosome	biomolecular
Q9Y3M2	8C2F96ED	Centrosome	biomolecular
Q15172	8C2F96ED	Centrosome	biomolecular
Q96RT7	8C2F96ED	Centrosome	biomolecular
Q5TB80	8C2F96ED	Centrosome	biomolecular
P05771	8C2F96ED	Centrosome	biomolecular
Q8TAP9	8C2F96ED	Centrosome	biomolecular
P34947	8C2F96ED	Centrosome	biomolecular
P84243	8C2F96ED	Centrosome	biomolecular
Q14674	8C2F96ED	Centrosome	biomolecular
Q9BXL8	8C2F96ED	Centrosome	biomolecular
Q9NVR7	8C2F96ED	Centrosome	biomolecular
P06241	8C2F96ED	Centrosome	biomolecular
Q13509	8C2F96ED	Centrosome	biomolecular
A6NKF1	8C2F96ED	Centrosome	biomolecular
P33981	8C2F96ED	Centrosome	biomolecular
Q5TZA2	8C2F96ED	Centrosome	biomolecular
Q9BUF7	8C2F96ED	Centrosome	biomolecular
P19174	8C2F96ED	Centrosome	biomolecular
Q06323	8C2F96ED	Centrosome	biomolecular
P42336	8C2F96ED	Centrosome	biomolecular
P62195	8C2F96ED	Centrosome	biomolecular
Q8TAP6	8C2F96ED	Centrosome	biomolecular
P00491	8C2F96ED	Centrosome	biomolecular
P07900	8C2F96ED	Centrosome	biomolecular
O94986	8C2F96ED	Centrosome	biomolecular
Q9NYP3	8C2F96ED	Centrosome	biomolecular
P54652	8C2F96ED	Centrosome	biomolecular
P51955	8C2F96ED	Centrosome	biomolecular
Q8N3I7	8C2F96ED	Centrosome	biomolecular
Q8TDC3	8C2F96ED	Centrosome	biomolecular
P11142	8C2F96ED	Centrosome	biomolecular
P81274	8C2F96ED	Centrosome	biomolecular
Q9BVA0	8C2F96ED	Centrosome	biomolecular
P30305	8C2F96ED	Centrosome	biomolecular
Q8NI51	8C2F96ED	Centrosome	biomolecular
P52732	8C2F96ED	Centrosome	biomolecular
P49454	8C2F96ED	Centrosome	biomolecular
Q8NBT0	8C2F96ED	Centrosome	biomolecular
Q2KHM9	8C2F96ED	Centrosome	biomolecular
Q9UM13	8C2F96ED	Centrosome	biomolecular
P63208	8C2F96ED	Centrosome	biomolecular
Q96SN8	8C2F96ED	Centrosome	biomolecular
P78527	8C2F96ED	Centrosome	biomolecular
Q99460	8C2F96ED	Centrosome	biomolecular
Q8IYM1	8C2F96ED	Centrosome	biomolecular
Q9BW19	8C2F96ED	Centrosome	biomolecular
Q8TBZ0	8C2F96ED	Centrosome	biomolecular
O14576	8C2F96ED	Centrosome	biomolecular
P49810	8C2F96ED	Centrosome	biomolecular
Q9C019	8C2F96ED	Centrosome	biomolecular
Q75N03	804901D1	Nuclear speckle	biomolecular
P39023	91857CE7	Nucleolus	biomolecular
P20671	91857CE7	Nucleolus	biomolecular
P33992	91857CE7	Nucleolus	biomolecular
Q05519	804901D1	Nuclear speckle	biomolecular
Q04759	8C2F96ED	Centrosome	biomolecular
Q12837	804901D1	Nuclear speckle	biomolecular
O75533	804901D1	Nuclear speckle	biomolecular
O43660	804901D1	Nuclear speckle	biomolecular
