side	distance_aa	count_within_distance	total_on_side	fraction_within_distance	expected_count_within_distance	expected_total_site_weighted	expected_fraction_within_distance	obs_minus_expected_fraction
C	49	690	2421	0.2850061957868649	699.1016185896768	2421	0.28876564171403424	-0.0037594459271693137
C	50	700	2421	0.28913672036348614	708.8731374334446	2421	0.29280179158754427	-0.003665071224058125
C	51	710	2421	0.2932672449401074	717.9966453407538	2421	0.2965702789511581	-0.0033030340110506984
C	52	718	2421	0.2965716646014044	727.7139411064779	2421	0.3005840318490202	-0.004012367247615833
C	53	731	2421	0.30194134655101196	741.5720059365156	2421	0.3063081395855083	-0.00436679303449633
C	54	741	2421	0.30607187112763323	751.9742128042233	2421	0.31060479669732477	-0.004532925569691537
C	55	752	2421	0.31061544816191655	760.8201835001947	2421	0.3142586466337029	-0.0036431984717863464
C	56	760	2421	0.31391986782321357	769.8704273274567	2421	0.3179968720889949	-0.004077004265781337
C	57	769	2421	0.31763733994217264	777.9641919257006	2421	0.32134002144803825	-0.0037026815058656126
C	58	775	2421	0.3201156546881454	787.0943689930905	2421	0.325111263524614	-0.004995608836468601
C	59	787	2421	0.3250722841800909	793.6665176777391	2421	0.327825905690929	-0.0027536215108381334
C	60	797	2421	0.3292028087567121	804.0219706697147	2421	0.33210325099946914	-0.0029004422427570398
C	61	808	2421	0.33374638579099547	813.1868463788829	2421	0.33588882543530896	-0.0021424396443134874
C	62	813	2421	0.3358116480793061	820.0618013722121	2421	0.33872854249162004	-0.002916894412313964
C	63	827	2421	0.3415943824865758	830.8484152093764	2421	0.343183979846913	-0.0015895973603372027
C	64	839	2421	0.3465510119785213	841.1926868617551	2421	0.34745670667565265	-0.0009056946971313651
C	65	851	2421	0.35150764147046676	854.4926770757896	2421	0.35295030032044183	-0.0014426588499750759
C	66	861	2421	0.355638166047088	863.6641749434501	2421	0.3567386100551219	-0.0011004440080339406
C	67	866	2421	0.3577034283353986	871.3055709127865	2421	0.35989490744022573	-0.002191479104827143
C	68	871	2421	0.3597686906237092	878.4752553759195	2421	0.3628563632283847	-0.0030876726046755176
C	69	879	2421	0.3630731102850062	887.8706298353314	2421	0.3667371457395008	-0.003664035454494563
C	70	882	2421	0.3643122676579926	892.1819812527317	2421	0.36851796003830306	-0.004205692380310488
C	71	892	2421	0.3684427922346138	903.8552379480777	2421	0.3733396274052366	-0.004896835170622782
C	72	898	2421	0.37092110698058656	911.3172457045666	2421	0.3764218280481481	-0.005500721067561554
C	73	912	2421	0.37670384138785623	924.4596418305458	2421	0.381850327067553	-0.005146485679696777
C	74	925	2421	0.38207352333746386	935.7404996308702	2421	0.38650991310651395	-0.004436389769050086
C	75	935	2421	0.3862040479140851	944.437623710836	2421	0.39010228158233623	-0.00389823366825115
C	76	945	2421	0.3903345724907063	954.1655969513764	2421	0.3941204448374128	-0.0037858723467065203
C	77	953	2421	0.3936389921520033	962.1142676375148	2421	0.39740366279946915	-0.0037646706474658287
C	78	965	2421	0.3985956216439488	971.920345946299	2421	0.4014540875449397	-0.0028584659009909252
C	79	977	2421	0.40355225113589427	984.6681758817665	2421	0.40671961002964335	-0.0031673588937490837
C	80	981	2421	0.4052044609665427	990.6833008485224	2421	0.4092041721803067	-0.003999711213763968
