distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	mean_other_modified_sites_within_x	null_mean_other_modified_sites_within_x	delta_other_modified_sites_within_x_vs_null	ratio_other_modified_sites_within_x_vs_null	ptm_group
49	12826	0.6183533447684391	2.0251052549508812	7931	25974	0.46909948542024005	0.004174020663344449	0.46073405582410726	0.4775534071417433	1.3172150319663183	0.012356153729787817	1.2932948697957274	1.3435755496647435	0.009900990099009901	0.009900990099009901	0.14925385934819901	1.3181710148637038	0.707890222984563	1.5374143217359395	2.0251052549508812	1.3172150319663183	0.707890222984563	1.5374143217359395	Arg methylation
50	12826	0.6203025105254951	2.0483393107749883	7956	26272	0.4724458131919539	0.004202199733317003	0.4648253547481678	0.4808319039451115	1.3375440511461094	0.012654830152241196	1.31295025728988	1.3636441602993918	0.009900990099009901	0.009900990099009901	0.14785669733354123	1.312960117763743	0.7107952596288789	1.5314182056432575	2.0483393107749883	1.3375440511461094	0.7107952596288789	1.5314182056432575	Arg methylation
51	12826	0.6217838765008576	2.072353032901918	7975	26580	0.4760431935131765	0.004232813464928187	0.46824419148604396	0.4840285357866833	1.3598175580851393	0.012799726188101674	1.3348549820676752	1.3856619366910963	0.009900990099009901	0.009900990099009901	0.14574068298768117	1.3061501245551308	0.7125354748167789	1.523993436163711	2.072353032901918	1.3598175580851393	0.7125354748167789	1.523993436163711	Arg methylation
52	12826	0.6232652424762202	2.0982379541556213	7994	26912	0.4795353188835179	0.004234765909753257	0.4714037891782317	0.48722516762825513	1.380343053173242	0.012792711338823108	1.354732574458132	1.406751910182442	0.009900990099009901	0.009900990099009901	0.14372992359270226	1.2997275027152173	0.7178949009823794	1.520084408967775	2.0982379541556213	1.380343053173242	0.7178949009823794	1.520084408967775	Arg methylation
53	12826	0.6256822080149695	2.124746608451583	8025	27252	0.48282395134882267	0.004283551485311001	0.47483821924216435	0.4907492593170123	1.4010229221893036	0.012904386664322991	1.3747816934352097	1.4264813659753626	0.009900990099009901	0.009900990099009901	0.14285825666614688	1.2958806336492967	0.7237236862622793	1.5165680552402063	2.124746608451583	1.4010229221893036	0.7237236862622793	1.5165680552402063	Arg methylation
54	12826	0.6274754405114611	2.145641665367223	8048	27520	0.4858794635895838	0.004229171425944883	0.4775514579759863	0.4936418213004834	1.4202229845626073	0.013185109485000889	1.3933962264150945	1.4462848900670513	0.009900990099009901	0.009900990099009901	0.1415959769218773	1.2914220244580694	0.7254186808046157	1.5107780177406622	2.145641665367223	1.4202229845626073	0.7254186808046157	1.5107780177406622	Arg methylation
55	12826	0.630048339310775	2.172462186184313	8081	27864	0.4889256198347108	0.004232277645080644	0.48093131139872136	0.496727350693903	1.4405925463901448	0.013227746069913265	1.412673475752378	1.4645719631997505	0.009900990099009901	0.009900990099009901	0.1411227194760642	1.2886384221873524	0.7318696397941684	1.508033754324286	2.172462186184313	1.4405925463901448	0.7318696397941684	1.508033754324286	Arg methylation
56	12826	0.6317636051769843	2.1970996413535007	8103	28180	0.4921604553251209	0.004250712806923947	0.4845879463589584	0.5000565258069546	1.4619554030874784	0.013395609257298676	1.4334905660377357	1.4845665055356307	0.009900990099009901	0.009900990099009901	0.13960314985186334	1.2836537319107477	0.7351442382660223	1.502849975254706	2.1970996413535007	1.4619554030874784	0.7351442382660223	1.502849975254706	Arg methylation
57	12826	0.633946670824887	2.219398097614221	8131	28466	0.49525962887883984	0.004205411727872292	0.4874278808669889	0.5033642600966786	1.4815811632621234	0.013709659850438677	1.4532161234991423	1.5065219086231092	0.009900990099009901	0.009900990099009901	0.13868704194604714	1.2800289663423696	0.7378169343520977	1.4979929231332716	2.219398097614221	1.4815811632621234	0.7378169343520977	1.4979929231332716	Arg methylation
58	12826	0.6350382036488383	2.243411819741151	8145	28774	0.498349446436925	0.004135878565387928	0.49016450958989555	0.5062412287540933	1.5018462498050835	0.013981202719799581	1.47298066427569	1.5261967877748324	0.009900990099009901	0.009900990099009901	0.13668875721191331	1.2742829518306964	0.7415655699360675	1.4937692989760512	2.243411819741151	1.5018462498050835	0.7415655699360675	1.4937692989760512	Arg methylation
59	12826	0.6367534695150475	2.2652424762201777	8167	29054	0.501413535007017	0.00408127915771004	0.4933085139560268	0.5086542959613286	1.5207890222984561	0.01418303413386919	1.49143926399501	1.545891158584126	0.009900990099009901	0.009900990099009901	0.1353399345080305	1.2699167953376778	0.7444534539217216	1.4895179035396942	2.2652424762201777	1.5207890222984561	0.7444534539217216	1.4895179035396942	Arg methylation
60	12826	0.6387026352721036	2.290347731171059	8192	29376	0.5048471854046468	0.00401549064963423	0.497144472165913	0.5120516918758771	1.5410852954935288	0.014264408883240943	1.5102643068766568	1.5667979104943084	0.009900990099009901	0.009900990099009901	0.1338554498674568	1.265140529128965	0.7492624356775301	1.4861914119020783	2.290347731171059	1.5410852954935288	0.7492624356775301	1.4861914119020783	Arg methylation
61	12826	0.6398721347263371	2.3118665211289566	8207	29652	0.5078083580227662	0.003985381174759681	0.5004639014501793	0.5145427257133947	1.5593980976142208	0.014312284758722652	1.5295766411975673	1.5851824419148604	0.009900990099009901	0.009900990099009901	0.13206377670357083	1.2600661738175845	0.7524684235147359	1.4825377334151968	2.3118665211289566	1.5593980976142208	0.7524684235147359	1.4825377334151968	Arg methylation
62	12826	0.640807734289724	2.331358178699517	8219	29902	0.5105551224076095	0.00398598823351362	0.5031518010291596	0.5169596912521441	1.5778200530173085	0.014488472070097368	1.5484211757367847	1.6037696865741462	0.009900990099009901	0.009900990099009901	0.13025261188211457	1.2551195868291092	0.7535381256822082	1.4775817902942712	2.331358178699517	1.5778200530173085	0.7535381256822082	1.4775817902942712	Arg methylation
