nearest_distance_bin	second_nearest_distance_bin	observed_probability	arginine_null_probability	log2_observed_over_null
61-80	41-60	0.0	0.0	
61-80	61-80	0.004989864338063309	0.006411040074847961	-0.3615578340826567
61-80	81-100	0.003430531732418525	0.008741930453765789	-1.349519689379183
61-80	>100/none	0.02050522376422891	0.03997473881178855	-0.9630971201807288
81-100	1	0.0	0.0	
81-100	2	0.0	0.0	
81-100	3	0.0	0.0	
81-100	4	0.0	0.0	
81-100	5	0.0	0.0	
81-100	6	0.0	0.0	
81-100	7-8	0.0	0.0	
81-100	9-10	0.0	0.0	
81-100	11-15	0.0	0.0	
81-100	16-20	0.0	0.0	
81-100	21-30	0.0	0.0	
81-100	31-40	0.0	0.0	
81-100	41-60	0.0	0.0	
81-100	61-80	0.0	0.0	
81-100	81-100	0.004132231404958678	0.004271012006861066	-0.047656906367455044
81-100	>100/none	0.018634024637455168	0.03802151878995791	-1.0288768564469155
>100/none	1	0.0	0.0	
>100/none	2	0.0	0.0	
>100/none	3	0.0	0.0	
>100/none	4	0.0	0.0	
>100/none	5	0.0	0.0	
>100/none	6	0.0	0.0	
>100/none	7-8	0.0	0.0	
>100/none	9-10	0.0	0.0	
>100/none	11-15	0.0	0.0	
>100/none	16-20	0.0	0.0	
>100/none	21-30	0.0	0.0	
>100/none	31-40	0.0	0.0	
>100/none	41-60	0.0	0.0	
>100/none	61-80	0.0	0.0	
>100/none	81-100	0.0	0.0	
>100/none	>100/none	0.31155465460782783	0.418979260876345	-0.4273935626498227
