occupancy_k	distance_aa	sites_with_at_least_k_neighbors	sites_total	observed_fraction	null_mean_fraction	null_q025_fraction	null_q975_fraction	empirical_p_greater	log2_observed_over_null	delta_fraction_vs_null	q_value
8	3	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
8	4	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
8	5	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
8	6	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
8	8	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
8	10	0	12826	0.0	8.669889287384999e-05	0.0	0.0003118665211289568	1.0		-8.669889287384999e-05	1.0
8	15	13	12826	0.0010135661936691096	0.0004309995322002183	0.0	0.0009355995633868704	0.02390438247011952	1.2336821024149207	0.0005825666614688913	0.037743761794925564
8	20	104	12826	0.008108529549352877	0.0017498830500545766	0.0006412755340714175	0.002806798690160611	0.00398406374501992	2.2121818053330986	0.0063586464992983005	0.00649575610601074
8	30	329	12826	0.025651021362856696	0.00850241696553875	0.006878605956650553	0.010256510213628568	0.00398406374501992	1.5930713548931528	0.017148604397317947	0.00649575610601074
8	40	600	12826	0.04677997816934352	0.017983159207859034	0.015766801808825823	0.01994191486043973	0.00398406374501992	1.379244698551396	0.028796818961484484	0.00649575610601074
8	50	831	12826	0.06479026976454078	0.026413846873538125	0.023953297988460936	0.028908077342897243	0.00398406374501992	1.2944827359315514	0.038376422891002654	0.00649575610601074
8	75	1287	12826	0.10034305317324185	0.046238577888663646	0.042484016840792144	0.04966474348978637	0.00398406374501992	1.117771809091593	0.05410447528457821	0.00649575610601074
8	100	1528	12826	0.1191330110712615	0.06453173241852486	0.060285747699984404	0.0692343676906284	0.00398406374501992	0.8844925693877218	0.05460127865273663	0.00649575610601074
9	1	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
9	2	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
9	3	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
9	4	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
9	5	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
9	6	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
9	8	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
9	10	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
9	15	0	12826	0.0	0.000101044752845782	0.0	0.000389833151411196	1.0		-0.000101044752845782	1.0
9	20	36	12826	0.002806798690160611	0.0005230001559332606	7.79666302822392e-05	0.001169499454233588	0.00398406374501992	2.424042312540053	0.0022837985342273504	0.00649575610601074
9	30	211	12826	0.016450958989552473	0.00487010759394979	0.003430531732418525	0.006315297052861375	0.00398406374501992	1.756146135806386	0.011580851395602682	0.00649575610601074
9	40	440	12826	0.03430531732418525	0.012363012630594106	0.010447528457820054	0.014345859971932013	0.00398406374501992	1.4724018680883157	0.021942304693591146	0.00649575610601074
9	50	627	12826	0.04888507718696398	0.019804459691252146	0.01787190082644628	0.02212498050834243	0.00398406374501992	1.3035687888190437	0.029080617495711832	0.00649575610601074
9	75	1048	12826	0.08170902853578668	0.03545080305629191	0.032295727428660534	0.03874941525027288	0.00398406374501992	1.2046771907061349	0.04625822547949477	0.00649575610601074
9	100	1336	12826	0.10416341805707158	0.05169655387494152	0.04790659597692187	0.055650631529705286	0.00398406374501992	1.010708677631645	0.052466864182130056	0.00649575610601074
10	1	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
10	2	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
10	3	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
10	4	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
10	5	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
