entrez_id	gene_symbol	is_methylarginine_protein	contributing_term_count	contributing_term_ids	contributing_term_names
4671	NAIP	False	3	C0002736;C0085084;C4024896	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Motor neuron atrophy
10135	NAMPT	True	1	C0002736	Amyotrophic Lateral Sclerosis
4673	NAP1L1	True	1	C0002736	Amyotrophic Lateral Sclerosis
8774	NAPG	True	1	C0338451	Frontotemporal dementia
55226	NAT10	True	1	C0002736	Amyotrophic Lateral Sclerosis
4684	NCAM1	True	1	C0002736	Amyotrophic Lateral Sclerosis
4691	NCL	True	1	C0751072	Frontotemporal Lobar Degeneration
57447	NDRG2	True	2	C0002736;C1862941	Amyotrophic Lateral Sclerosis;Amyotrophic Lateral Sclerosis, Sporadic
284184	NDUFAF8	True	1	C0338451	Frontotemporal dementia
4719	NDUFS1	True	1	C0338451	Frontotemporal dementia
4703	NEB	True	1	C4082299	Bulbar palsy
4738	NEDD8	False	1	C0002736	Amyotrophic Lateral Sclerosis
4744	NEFH	True	9	C0002736;C0033790;C0085084;C0338451;C1862939;C1862941;C4016314;C4024896;C4551993	Amyotrophic Lateral Sclerosis;Pseudobulbar Palsy;Motor Neuron Disease;Frontotemporal dementia;AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic;AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO;Motor neuron atrophy;Amyotrophic Lateral Sclerosis, Familial
4747	NEFL	True	8	C0002736;C0085084;C0338451;C0751072;C1862939;C3811918;C4011788;C4024896	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Frontotemporal dementia;Frontotemporal Lobar Degeneration;AMYOTROPHIC LATERAL SCLEROSIS 1;GRN-related frontotemporal dementia;Behavioral variant of frontotemporal dementia;Motor neuron atrophy
4741	NEFM	True	3	C0002736;C0085084;C0338451	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Frontotemporal dementia
4750	NEK1	True	5	C0002736;C0085084;C0393554;C0543859;C4693523	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Amyotrophic Lateral Sclerosis With Dementia;Amyotrophic Lateral Sclerosis, Guam Form;AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 24
10763	NES	True	2	C0002736;C4024896	Amyotrophic Lateral Sclerosis;Motor neuron atrophy
4762	NEUROG1	False	1	C0002736	Amyotrophic Lateral Sclerosis
4763	NF1	True	1	C1833662	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA
4780	NFE2L2	True	4	C0002736;C0751072;C4024896;C4551993	Amyotrophic Lateral Sclerosis;Frontotemporal Lobar Degeneration;Motor neuron atrophy;Amyotrophic Lateral Sclerosis, Familial
4783	NFIL3	False	1	C0002736	Amyotrophic Lateral Sclerosis
4790	NFKB1	False	1	C0002736	Amyotrophic Lateral Sclerosis
4791	NFKB2	False	2	C0338451;C1833662	Frontotemporal dementia;INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA
58157	NGB	False	1	C0002736	Amyotrophic Lateral Sclerosis
4803	NGF	False	2	C0002736;C4522181	Amyotrophic Lateral Sclerosis;Brachial Amyotrophic Diplegia
4804	NGFR	False	2	C0002736;C0751072	Amyotrophic Lateral Sclerosis;Frontotemporal Lobar Degeneration
55768	NGLY1	False	1	C0002736	Amyotrophic Lateral Sclerosis
9351	NHERF2	False	1	C0085084	Motor Neuron Disease
60491	NIF3L1	True	1	C1859807	AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE (disorder)
123606	NIPA1	False	2	C0002736;C0085084	Amyotrophic Lateral Sclerosis;Motor Neuron Disease
4820	NKTR	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
57486	NLN	False	1	C0002736	Amyotrophic Lateral Sclerosis
114548	NLRP3	False	2	C0002736;C4522181	Amyotrophic Lateral Sclerosis;Brachial Amyotrophic Diplegia
51068	NMD3	True	1	C0002736	Amyotrophic Lateral Sclerosis
347736	NME9	False	1	C0002736	Amyotrophic Lateral Sclerosis
129521	NMS	False	1	C1833662	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA
26155	NOC2L	False	1	C0002736	Amyotrophic Lateral Sclerosis
4841	NONO	True	3	C0002736;C0033790;C0338451	Amyotrophic Lateral Sclerosis;Pseudobulbar Palsy;Frontotemporal dementia
29997	NOP53	True	1	C0002736	Amyotrophic Lateral Sclerosis
10528	NOP56	True	3	C0002736;C0085084;C4024896	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Motor neuron atrophy
4842	NOS1	False	2	C0002736;C0751072	Amyotrophic Lateral Sclerosis;Frontotemporal Lobar Degeneration
4843	NOS2	True	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
4846	NOS3	False	2	C0751072;C3811918	Frontotemporal Lobar Degeneration;GRN-related frontotemporal dementia
4851	NOTCH1	True	1	C0002736	Amyotrophic Lateral Sclerosis
